title,date,link,thumbnail,完工年月,場所,建物種別,受注形態,description,main_image,gallery,完工年月日,工事内容,完成年月日,建物,備考
ゴルフ練習場及び周辺施設解体他工事,2014年02月28日,https://www.tanaken-1982.co.jp/ja/case/building/b018.html,https://www.tanaken-1982.co.jp/ja/case/building/b018/image/image24.jpg.jpg,,東京都,商業施設・ビル,元請,N/A,N/A,,2014.2.28,解体,,,
T勝島倉庫解体他工事,2013年09月30日,https://www.tanaken-1982.co.jp/ja/case/factory/f011.html,https://www.tanaken-1982.co.jp/ja/case/factory/f011/image/image19mask0224.jpg.jpg,,東京都,工場・倉庫,元請,N/A,N/A,,2013.9.30,解体,,,
武蔵村山工場解体工事,2013年04月06日,https://www.tanaken-1982.co.jp/ja/case/factory/f012.html,https://www.tanaken-1982.co.jp/ja/case/factory/f012/image/image18.jpg.jpg,,東京都,工場・倉庫,下請,N/A,N/A,,2013.4.6,解体,,,
西葛西計画既存建物解体工事,2012年12月28日,https://www.tanaken-1982.co.jp/ja/case/building/b019.html,https://www.tanaken-1982.co.jp/ja/case/building/b019/image/image14.jpg.jpg,,東京都,商業施設・ビル,元請,N/A,N/A,,2012.12.28,解体,,,
ホテル建物およびボウリング場解体工事,2012年09月29日,https://www.tanaken-1982.co.jp/ja/case/building/b020.html,https://www.tanaken-1982.co.jp/ja/case/building/b020/image/image12%20(1).png.png,,北海道,商業施設・ビル,下請,N/A,N/A,,2012.9.29,解体,,,
K高等学校解体工事,2012年06月28日,https://www.tanaken-1982.co.jp/ja/case/school_hospital/s005.html,https://www.tanaken-1982.co.jp/ja/case/school_hospital/s005/image/image13.jpg.jpg,,神奈川県,学校・病院施設,下請,N/A,N/A,,2012.6.28,解体,,,
S銀座ビル地上部解体工事,2012年05月23日,https://www.tanaken-1982.co.jp/ja/case/building/b021.html,https://www.tanaken-1982.co.jp/ja/case/building/b021/image/image12c.jpg.jpg,,東京都,商業施設・ビル,元請,N/A,N/A,,2012.5.23,解体,,,
（仮称）さいたま市新クリーンセンター整備事業に伴う解体工事,2012年03月23日,https://www.tanaken-1982.co.jp/ja/case/public_office/p002.html,https://www.tanaken-1982.co.jp/ja/case/public_office/p002/image/image11.jpg.jpg,,埼玉県,官公庁施設,下請,N/A,N/A,,2012.3.23,解体,,,官庁工事
イメージスタジオ109解体他工事体工事,2011年08月31日,https://www.tanaken-1982.co.jp/ja/case/building/b022.html,https://www.tanaken-1982.co.jp/ja/case/building/b022/image/image8.jpg.jpg,,東京都,商業施設・ビル,元請,N/A,N/A,,2011.8.31,解体,,,
国際新川崎ビル解体工事,2011年01月31日,https://www.tanaken-1982.co.jp/ja/case/building/b023.html,https://www.tanaken-1982.co.jp/ja/case/building/b023/image/image6.jpg.jpg,,神奈川県,商業施設・ビル,元請,N/A,N/A,,2011.1.31,解体,,,
J高洲社宅解体工事,2011年01月08日,https://www.tanaken-1982.co.jp/ja/case/housing/h005.html,https://www.tanaken-1982.co.jp/ja/case/housing/h005/image/image7.jpg.jpg,,千葉県,集合住宅,下請,N/A,N/A,,2011.1.8,解体,,,
（仮称）渋谷ビデオスタジオ解体工事,2010年09月30日,https://www.tanaken-1982.co.jp/ja/case/building/b024.html,https://www.tanaken-1982.co.jp/ja/case/building/b024/image/image4.jpg.jpg,,東京都,商業施設・ビル,下請,N/A,N/A,,2010.9.30,解体,,,
旧丸広百貨店飯能店解体工事,2010年09月30日,https://www.tanaken-1982.co.jp/ja/case/building/b025.html,https://www.tanaken-1982.co.jp/ja/case/building/b025/image/image3.jpg.jpg,,埼玉県,商業施設・ビル,元請,N/A,N/A,,2010.9.30,解体,,,
横浜プリンスホテル地下・地上解体工事,2010年07月26日,https://www.tanaken-1982.co.jp/ja/case/building/b026.html,https://www.tanaken-1982.co.jp/ja/case/building/b026/image/image7.jpg.jpg,,神奈川県,商業施設・ビル,元請,N/A,N/A,,2010.7.26,解体,,,
京橋三丁目プロジェクトに伴う解体工事,2010年06月30日,https://www.tanaken-1982.co.jp/ja/case/building/b027.html,https://www.tanaken-1982.co.jp/ja/case/building/b027/image/image1mask.png.png,,東京都,商業施設・ビル,下請,N/A,N/A,,2010.6.30,解体,,,
